MEAS frames_wo_det=1 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.008700 y=0.258320 z=0.286980 yaw=-1.251525 h=0.000506 r1=0.204236 r2=0.202710 | class_id=-1 pf_state=0
PF frames_wo_det=1 has_meas=0 | x=0.008072 y=0.259275 z=0.286181 yaw=-1.252074 h=0.000508 r1=0.204237 r2=0.202707 | class_id=-1 pf_state=0
MEAS frames_wo_det=1 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.009135 y=0.258256 z=0.284994 yaw=-1.247266 h=0.000761 r1=0.204046 r2=0.202327 | class_id=-1 pf_state=0
MEAS frames_wo_det=0 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.009645 y=0.256100 z=0.282978 yaw=-1.245225 h=0.000799 r1=0.203765 r2=0.202095 | class_id=-1 pf_state=0
PF frames_wo_det=1 has_meas=0 | x=0.009826 y=0.255609 z=0.281548 yaw=-1.243562 h=0.000799 r1=0.203769 r2=0.202099 | class_id=-1 pf_state=0
MEAS frames_wo_det=1 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.009279 y=0.255435 z=0.281292 yaw=-1.242217 h=0.000788 r1=0.203446 r2=0.201975 | class_id=-1 pf_state=0
PF frames_wo_det=1 has_meas=0 | x=0.009201 y=0.255187 z=0.280464 yaw=-1.240525 h=0.000790 r1=0.203452 r2=0.201972 | class_id=-1 pf_state=0
MEAS frames_wo_det=1 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.009532 y=0.256081 z=0.280526 yaw=-1.241219 h=0.000725 r1=0.203123 r2=0.201924 | class_id=-1 pf_state=0
MEAS frames_wo_det=0 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.011461 y=0.256454 z=0.279653 yaw=-1.242554 h=0.000693 r1=0.202791 r2=0.201860 | class_id=-1 pf_state=0
MEAS frames_wo_det=0 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.013528 y=0.255884 z=0.279814 yaw=-1.243717 h=0.000694 r1=0.202494 r2=0.201798 | class_id=-1 pf_state=0
PF frames_wo_det=1 has_meas=0 | x=0.013484 y=0.256518 z=0.280204 yaw=-1.243171 h=0.000697 r1=0.202501 r2=0.201802 | class_id=-1 pf_state=0
PF frames_wo_det=2 has_meas=0 | x=0.013465 y=0.257206 z=0.280634 yaw=-1.242675 h=0.000698 r1=0.202499 r2=0.201789 | class_id=-1 pf_state=0
PF frames_wo_det=3 has_meas=0 | x=0.013425 y=0.257900 z=0.281044 yaw=-1.242350 h=0.000689 r1=0.202495 r2=0.201795 | class_id=-1 pf_state=0
PF frames_wo_det=4 has_meas=0 | x=0.013400 y=0.258568 z=0.281417 yaw=-1.241293 h=0.000696 r1=0.202494 r2=0.201797 | class_id=-1 pf_state=0
PF frames_wo_det=5 has_meas=0 | x=0.013314 y=0.259251 z=0.281776 yaw=-1.240932 h=0.000694 r1=0.202494 r2=0.201796 | class_id=-1 pf_state=0
PF frames_wo_det=6 has_meas=0 | x=0.013315 y=0.259932 z=0.282122 yaw=-1.240178 h=0.000696 r1=0.202491 r2=0.201800 | class_id=-1 pf_state=0
PF frames_wo_det=7 has_meas=0 | x=0.013291 y=0.260531 z=0.282462 yaw=-1.239919 h=0.000696 r1=0.202495 r2=0.201799 | class_id=-1 pf_state=0
PF frames_wo_det=8 has_meas=0 | x=0.013274 y=0.261181 z=0.282778 yaw=-1.239336 h=0.000694 r1=0.202497 r2=0.201796 | class_id=-1 pf_state=0
PF frames_wo_det=9 has_meas=0 | x=0.013240 y=0.261884 z=0.283122 yaw=-1.238718 h=0.000692 r1=0.202494 r2=0.201795 | class_id=-1 pf_state=0
PF frames_wo_det=10 has_meas=0 | x=0.013174 y=0.262572 z=0.283491 yaw=-1.238329 h=0.000698 r1=0.202493 r2=0.201799 | class_id=-1 pf_state=0
MEAS frames_wo_det=10 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.018770 y=0.254852 z=0.289486 yaw=-1.244292 h=0.000758 r1=0.202094 r2=0.201881 | class_id=-1 pf_state=0
MEAS frames_wo_det=0 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.020737 y=0.257724 z=0.287008 yaw=-1.243153 h=0.000774 r1=0.201997 r2=0.201747 | class_id=-1 pf_state=0
MEAS frames_wo_det=0 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.020666 y=0.258029 z=0.284902 yaw=-1.243893 h=0.000808 r1=0.201932 r2=0.201615 | class_id=-1 pf_state=0
MEAS frames_wo_det=0 has_meas=1 | x=-0.298419 y=0.824864 z=1.008300 yaw=-1.164478 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.020622 y=0.317278 z=0.416806 yaw=-1.195346 h=0.001009 r1=0.201989 r2=0.200663 | class_id=-1 pf_state=0
PF frames_wo_det=1 has_meas=0 | x=0.026963 y=0.331003 z=0.443835 yaw=-1.189868 h=0.001009 r1=0.201988 r2=0.200662 | class_id=-1 pf_state=0
MEAS frames_wo_det=1 has_meas=1 | x=-0.298419 y=0.824864 z=1.008300 yaw=-1.164478 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.035188 y=0.348766 z=0.484792 yaw=-1.180357 h=0.000975 r1=0.201896 r2=0.200619 | class_id=-1 pf_state=0
PF frames_wo_det=1 has_meas=0 | x=0.042385 y=0.363225 z=0.514656 yaw=-1.174787 h=0.000975 r1=0.201896 r2=0.200614 | class_id=-1 pf_state=0
PF frames_wo_det=2 has_meas=0 | x=0.049550 y=0.377700 z=0.544540 yaw=-1.169689 h=0.000978 r1=0.201894 r2=0.200622 | class_id=-1 pf_state=0
PF frames_wo_det=3 has_meas=0 | x=0.056694 y=0.392121 z=0.574356 yaw=-1.164614 h=0.000975 r1=0.201891 r2=0.200617 | class_id=-1 pf_state=0
PF frames_wo_det=4 has_meas=0 | x=0.063867 y=0.406552 z=0.604198 yaw=-1.159635 h=0.000974 r1=0.201896 r2=0.200623 | class_id=-1 pf_state=0
PF frames_wo_det=5 has_meas=0 | x=0.071021 y=0.421033 z=0.634037 yaw=-1.154769 h=0.000981 r1=0.201899 r2=0.200619 | class_id=-1 pf_state=0
PF frames_wo_det=6 has_meas=0 | x=0.078195 y=0.435446 z=0.663859 yaw=-1.149653 h=0.000977 r1=0.201897 r2=0.200621 | class_id=-1 pf_state=0
PF frames_wo_det=7 has_meas=0 | x=0.085277 y=0.449854 z=0.693692 yaw=-1.144242 h=0.000972 r1=0.201891 r2=0.200619 | class_id=-1 pf_state=0
PF frames_wo_det=8 has_meas=0 | x=0.092454 y=0.464258 z=0.723555 yaw=-1.139321 h=0.000974 r1=0.201898 r2=0.200623 | class_id=-1 pf_state=0
PF frames_wo_det=9 has_meas=0 | x=0.099632 y=0.478656 z=0.753455 yaw=-1.134053 h=0.000981 r1=0.201898 r2=0.200620 | class_id=-1 pf_state=0
MEAS frames_wo_det=9 has_meas=1 | x=-0.298419 y=0.824864 z=1.008300 yaw=-1.164478 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
